2,15100,870700,16700
4,30500,2404700,38300
8,47300,1383100,38500
16,164400,2725500,127800
32,108100,1526800,90300
64,239400,1754200,357000
128,506600,2366600,578600
256,827700,1542400,500900
512,1935700,1804900,872000
1024,3412500,1854600,1530800
2048,7844100,2326700,3147700
4096,16029600,3368500,5753600
8192,29204000,4967800,11517800
