2,13700,1558000,11200
4,28800,2605700,27900
8,49700,1625800,18800
16,57500,1561600,26800
32,119200,2232200,42800
64,337300,2398800,69200
128,461500,1789200,92400
256,1015800,1642000,124700
512,1705200,1687900,212400
1024,7067100,3351900,723700
2048,8689200,4068900,1159500
4096,22824500,3083900,2572400
8192,36310500,5381000,5179200
